Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Sillimanite,Brittle,"Transparent,Translucent","colourless,white,yellow,brown,green,gray","6.5,7.5","Sub-Vitreous,Greasy,Silky",white,good,2 directions,30 degrees,"Irregular,Uneven","fibrous,elongate,prismatic",Weak,Biaxial (+),Orthorhombic,Moderate,Al2OSiO4,3.23 - 3.27 g/cm3 (Measured)  3.24 g/cm3 (Calculated)
Kyanite,Brittle,"Transparent,Translucent","Blue,white,gray,green,yellow,orange,pink","5.5,7","Vitreous,Sub-Vitreous,Greasy,Pearly",colourless,good,2 directions,80 degrees,Splintery,"bladed,tabular",Weak,Biaxial (-),Triclinic,High,Al2OSiO4,3.53 - 3.67 g/cm3 (Measured)  3.67 g/cm3 (Calculated)
Andalusite,Brittle,"Transparent,Translucent","Pink,red,brown,yellow,green,white,gray,violet","6.5,7.5","Vitreous,Sub-Vitreous,Greasy",White,good,2 directions,90 degrees,"Irregular,Uneven,Sub-Conchoidal","columnar,elongate,fibrous,massive",Weak,Biaxial (-),Orthorhombic,Moderate,Al2SiO5,3.13 - 3.21 g/cm3 (Measured)  3.149 g/cm3 (Calculated)
Staurolite,Brittle,Translucent,"brown,black,brown","7,7.5","Sub-Vitreous,Resinous","White,gray",good,2 directions,90 degrees,Sub-Conchoidal,Prismatic,Visible,Biaxial (+),Monoclinic,High,Fe22+Al9Si4O23(OH),3.74 - 3.83 g/cm3 (Measured)  3.686 g/cm3 (Calculated)
Chloritoid,brittle,Translucent,"green,gray,black",6.5,"Vitreous,Pearly","white,gray,green",Indistinct,indistinct,indistinct,,"platy,massive,tabular",none,"Biaxial (+),Biaxial (-)",Monoclinic,High,Fe2+Al2OSiO4(OH)2,3.4 - 3.8 g/cm3 (Measured)  
Lawsonite,brittle,"Transparent,Translucent","colourless,white,blue,blue",7.5,"Vitreous,Greasy",white,very good,2 directions,90 degrees,"Irregular,Uneven","prismatic,tabular",none,Biaxial (+),Orthorhombic,High,CaAl2Si2O7(OH)2 Â· H2O,3.1 g/cm3 (Measured)  3.09 g/cm3 (Calculated)
Zoisite,Brittle,"Transparent,Translucent","Colourless,purple,white,gray,brown,yellow,pink,green","6.5,7",Vitreous,White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","Prismatic,columnar,massive",Visible,Biaxial (+),Orthorhombic,High,Ca2Al3(Si2O7)(SiO4)O(OH),3.15 - 3.36 g/cm3 (Measured)  3.35 g/cm3 (Calculated)
Epidote,Brittle,"Transparent,Opaque","green,green,green,black",6,"Vitreous,Pearly",colourless,good,2 directions,indistinct,"Irregular,Uneven","prismatic,fibrous,granular,massive",Strong,Biaxial (-),Monoclinic,High,Ca2Fe3+Al2(Si2O7)(SiO4)O(OH),3.38 - 3.49 g/cm3 (Measured)  3.43(3) g/cm3 (Calculated)
Corundum,Brittle,"Transparent,Translucent,Opaque","Colourless,blue,red,pink,yellow,gray,brown",9,"Adamantine,Vitreous,Pearly",White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","pyramidal,prismatic,tabular",none,Uniaxial (-),Trigonal,High,Al2O3,3.98 - 4.1 g/cm3 (Measured)  3.997 g/cm3 (Calculated)
Ilmenite,Brittle,Opaque,black,"5,6","Metallic,Sub-Metallic","Black,red,brown",Indistinct,indistinct,indistinct,"Conchoidal,Sub-Conchoidal","tabular,rhombohedral,massive",Weak,Uniaxial (-),Trigonal,high,Fe2+Ti4+O3,4.68 - 4.76 g/cm3 (Measured)  4.789 g/cm3 (Calculated)
Rutile,Brittle,Transparent,"red,yellow,red,yellow,black,black,brown,bluish,violet","6,6.5","Adamantine,Metallic","black,brown,yellow",Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal,Sub-Conchoidal","prismatic,pyramidal,Granular,massive",Visible,Uniaxial (+),Tetragonal,Very High,TiO2,4.23(2) g/cm3 (Measured)  4.25 g/cm3 (Calculated)
Spinel,Brittle,"Transparent,Translucent","Black,blue,red,violet,green,brown,pink","7.5,8",Vitreous,white,Indistinct,indistinct,indistinct,"Irregular,Uneven,Splintery,Conchoidal","octahedral,dodecahedral,cubic,massive,granular",none,Isotropic,Isometric,High,MgAl2O4,3.6 - 4.1 g/cm3 (Measured)  3.578 g/cm3 (Calculated)
Ulvospinel,brittle,Opaque,"black,brown","5.5,6",Metallic,white,Indistinct,indistinct,indistinct,,massive,none,Isotropic,cubic,high,Fe22+TiO4,4.78
Brucite,Sectile,"Transparent,Translucent","White,bluish,yellow,red,brown","2.5,3","Vitreous,Waxy,Pearly",White,good,1 direction,indistinct,"Fibrous,Micaceous","tabular,massive,fibrous,granular",none,Uniaxial (+),Trigonal,Moderate,Mg(OH)2,2.39 g/cm3 (Measured)  2.368 g/cm3 (Calculated)
Gibbsite,Brittle,"Transparent,Translucent","White,gray,green,white,yellow","2.5,3","Vitreous,Sub-Vitreous,Pearly,Dull,Earthy",White,Indistinct,indistinct,indistinct,"Irregular,Uneven","massive,nodular,tabular",none,Biaxial (+),Monoclinic,Low,Al(OH)3,2.38 - 2.42 g/cm3 (Measured)  2.44 g/cm3 (Calculated)
Goethite,Brittle,Opaque,"black,yellow,brown,brown","5,5.5","Adamantine,Silky,Metallic,Dull","brown,orange,yellow,yellow",Indistinct,indistinct,indistinct,"Irregular,Uneven","Prismatic,tabular,massive,bladed,columnar,fibrous,nodular",Visible,,Orthorhombic,Very High,FeO(OH),4.27 - 4.29 g/cm3 (Measured)  4.18 g/cm3 (Calculated)
Anhydrite,Brittle,"Transparent,Translucent","Colourless,bluish,blue,gray,violet,red,white,pink,gray,gray,colourless","3,3.5","Vitreous,Greasy,Pearly",White,poor,3 directions,"120 degrees,60 degrees","Irregular,Uneven,Splintery","tabular,elongate,massive,granular,scaley,fibrous,radial",Visible,Biaxial (+),Orthorhombic,Low,CaSO4,2.98(1) g/cm3 (Measured)  2.95 g/cm3 (Calculated)
Aragonite,Brittle,"Transparent,Translucent","colourless,white,gray,blue,green,red,violet,colourless","3.5,4","Vitreous,Resinous","colourless,white",good,indistinct,indistinct,Sub-Conchoidal,"prismatic,pyramidal,tabular,columnar,radial,fibrous",none,Biaxial (-),Orthorhombic,High,CaCO3,2.947 g/cm3 (Measured)  2.944 g/cm3 (Calculated)
Apatite,brittle,"transparent,translucent","green,colourless,yellow,blue,violet,pink,brown",5,"vitreous,sub-resinous",white,Indistinct,indistinct,indistinct,"conchoidal,Uneven","tabular,prismatic,massive,granular",none,Uniaxial (-),Hexagonal,"moderate,high","Ca5(PO4)3XX = OH,Cl ,F",3.1 - 3.2 g/cm3 (Measured)  
Monazite,brittle,"translucent,opaque","brown,yellow,pink,green,gray","5,5.5","resinous,vitreous,adamantine",white,Indistinct,indistinct,indistinct,"conchoidal,Uneven","prismatic,wedge",none,Biaxial (+),Monoclinic,high,"(Ce,La,Nd,Th,Y,Dy,Sm)(PO4)Generic formula f,common 'monazite' with all elements after Ce in no particular order.",4.6-5.7
